#CharID	Name	Rank	Neigong	HP	SP	Critical	Dodge	Conter	Move	Defance	RoutineID	Voice
10001402	Đông Phương Vị Minh	Hoàng	10126	99999	9999	7	7	7	3	200	70000	100014
10001501	Cốc Nguyệt Hiên	Hoàng	10068	99999	1000	2	4	8	3	200	10129	100015
10001502	Cốc Nguyệt Hiên	Huyền	10068	99999	1500	4	6	12	3	400	10128	100015
10001503	Cốc Nguyệt Hiên	Địa	10068	99999	3000	6	8	16	3	600	10127	100015
10001504	Cốc Nguyệt Hiên	Địa	10068	99999	3000	6	8	25	3	600	10127	100015
10001505	Cốc Nguyệt Hiên	Địa	10068	99999	3000	6	8	25	3	600	10127	100015
10001601	Kinh Cức	Hoàng	10069	99999	800	16	10	2	3	150	10053	100016
10001602	Kinh Cức	Huyền	10069	99999	1100	20	12	2	3	300	10052	100016
10001603	Kinh Cức	Địa	10069	99999	2000	24	14	2	3	450	10051	100016
10001604	Kinh Cức	Địa	10069	99999	2500	24	14	2	3	450	10051	100016
10001704	Vô Hà Tử	Thiên	10047	99999	5000	20	20	20	3	600	10056	100017
10001705	Vô Hà Tử	Thiên	0	99999	5000	20	20	20	3	600	10056	100017
10001706	Vô Hà Tử	Thiên	10047	99999	8000	20	20	20	3	600	10724	
10001803	Huyền Minh Tử	Địa	10048	99999	3800	12	6	17	3	400	10061	100018
10001804	Huyền Minh Tử	Địa	10048	99999	3800	12	6	17	3	400	10061	100018
10001902	Lão Hồ	Huyền	10017	99999	2400	15	5	15	4	500	10066	100019
10002102	Vương Dung	Huyền	10008	99999	1800	8	8	4	3	100	10186	100021
10002103	Vương Dung	Huyền	10008	99999	2300	14	8	6	3	100	10186	100021
10002104	Vương Dung	Huyền	10008	99999	2800	18	8	6	3	100	10186	100021
10002201	Cổ Vân Trường	Hoàng	10051	99999	420	4	4	12	2	100	10086	100022
10002301	Lôi Chấn Thiên	Hoàng	10053	99999	380	6	0	0	2	200	10081	100023
10002401	Triệu Kinh Phong	Hoàng	10054	99999	300	4	12	6	3	50	10091	100024
10002501	Tái Phi Hồng	Hoàng	10052	99999	400	12	4	6	3	80	10096	100025
10002502	Tái A Tứ	Hoàng	10052	99999	1200	18	8	8	3	120	10097	100025
10002503	Tái A Tam	Hoàng	10052	99999	1800	24	16	10	3	240	10097	100025
10002504	Tái A Nhị	Hoàng	10052	99999	2300	30	32	12	3	360	10098	100025
10002504	Tái A Đại	Hoàng	10052	99999	2300	30	32	12	3	480	10099	100025
10002603	Túy Tiên	Địa	10072	99999	3000	4	8	12	3	300	10101	100026
10002703	Quất Tẩu	Địa	10072	99999	2800	10	4	0	3	200	10102	100027
10002803	Thần Y	Địa	10072	99999	1500	0	0	0	3	400	10103	100028
10002903	Tiên Âm	Địa	10072	99999	3000	10	8	0	3	100	10104	100029
10003003	Thư Sinh	Địa	10072	99999	2600	6	10	2	3	160	10105	100030
10003103	Đan Thanh	Địa	10072	99999	2300	8	4	8	3	240	10106	100031
10003303	Quái y thiếu nữ	Địa	10121	99999	1900	0	8	8	3	240	10107	100033
10003404	Kiếm Thánh	Thiên	10057	99999	4000	17	7	17	3	700	10109	100034
10003405	Kiếm Thánh	Thiên	10057	99999	9700	20	10	20	3	700	10109	100034
10003502	Thẩm Tương Vân	Huyền	10072	99999	1200	2	6	0	3	30	10110	100035
10003503	Thẩm Tương Vân	Huyền	10072	99999	2600	2	6	0	3	30	10110	100035
10003601	Cổ Thực	Hoàng	10025	99999	1200	2	2	10	2	150	10268	100036
10003602	Cổ Thực	Huyền	10025	99999	2000	2	2	12	2	240	10267	100036
10003603	Cổ Thực	Địa	10025	99999	3200	2	2	20	2	320	10266	100036
10003604	Cổ Thực	Địa	10025	99999	4500	6	4	30	2	360	10266	100036
10003701	Phương Vân Hoa	Hoàng	10024	99999	900	6	2	2	3	180	10273	100037
10003702	Phương Vân Hoa	Huyền	10024	99999	1500	8	3	3	3	260	10272	100037
10003703	Phương Vân Hoa	Địa	10024	99999	2200	10	4	4	3	340	10271	100037
10003704	Phương Vân Hoa	Địa	10024	99999	2700	18	10	10	3	500	10271	100037
10003803	Trác Nhân Thanh	Địa	10042	99999	4700	6	6	6	3	550	10276	100038
10003804	Trác Nhân Thanh	Địa	10042	99999	5000	15	10	20	3	550	10276	100038
10004002	Cổ Diệp	Huyền	10042	99999	1600	5	5	5	3	300	10281	100040
10004003	Cổ Diệp	Huyền	10042	99999	1600	5	5	5	3	300	10281	100040
10004004	Cổ Diệp	Huyền	10042	99999	4800	10	10	20	3	500	10281	100040
10004102	Võ Đang trưởng lão	Huyền	10042	99999	1800	4	5	5	3	200	10286	100041
10004201	Võ Đang đệ tử	Hoàng	0	99999	600	2	2	2	2	100	10291	100042
10004202	Võ Đang đệ tử	Hoàng	0	99999	1200	6	6	6	2	200	10291	100042
10004203	Truyền lời đệ tử	Huyền	10076	99999	1800	7	6	8	3	500	10292	100042
10004204	Võ Đang đệ tử	Huyền	10118	99999	1800	7	6	8	3	500	10292	100042
10004301	Hư Chân	Hoàng	10021	99999	1600	2	2	2	2	220	10218	100043
10004302	Hư Chân	Huyền	10021	99999	2400	3	3	3	2	260	10217	100043
10004303	Hư Chân	Địa	10021	99999	3100	4	4	4	3	350	10216	100043
10004304	Hư Chân	Thiên	10021	99999	4200	5	5	15	3	460	10216	100043
10004403	Vô Nhân phương trượng	Địa	10045	99999	5200	3	3	3	3	600	10296	100044
10004404	Vô Nhân phương trượng	Địa	10045	99999	9900	5	5	5	3	600	10296	100044
10004503	Vô Sắc	Địa	10046	99999	2800	2	2	2	3	400	10301	100045
10004504	Vô Sắc	Địa	10046	99999	4500	3	3	3	3	400	10301	100045
10004603	Vô Tuệ	Địa	10021	99999	2600	2	2	2	3	400	10306	100046
10004604	Vô Tuệ	Địa	10021	99999	4000	3	3	3	3	400	10306	100046
10004703	Vô Sân	Địa	10021	99999	2400	2	2	2	3	350	10311	100047
10004802	Vô Giới	Huyền	10021	99999	1400	6	2	3	3	300	10157	100048
10004803	Vô Giới	Huyền	10021	99999	3500	12	2	3	3	400	10157	100048
10004901	La Hán Đường đệ tửLa Hán Đường đệ tử	Hoàng	0	99999	1000	0	0	0	3	200	10316	100049
10005001	Giới Luật Viện đệ tử	Hoàng	0	99999	1000	0	0	0	3	200	10321	100049
10005102	Phật Đao đồng nhân	Huyền	10077	99999	1800	8	2	2	3	500	10326	100051
10005202	Bàn côn đồng nhân	Huyền	10078	99999	1800	2	2	8	3	800	10331	100052
10005302	Cương quyền đồng nhân	Huyền	10079	99999	1800	2	8	2	3	350	10336	100052
10005303	Pháp Hoa La Hán	Huyền	10077	99999	2000	8	2	2	0	500	10326	100052
10005304	Bát Nhã La Hán	Huyền	10078	99999	2000	2	2	8	0	500	10331	100052
10005305	Kim Cương La Hán	Huyền	10079	99999	2000	2	8	2	0	500	10336	100052
10005306	Hải Miên Bảo	Huyền	10079	99999	4000	50	8	2	3	500	10336	100052
10005402	Nhậm Thanh Tuyền	Huyền	10004	99999	1600	4	10	2	4	150	10341	100054
10005403	Nhậm Thanh Tuyền	Huyền	10004	99999	2600	12	25	2	4	300	10341	100054
10005502	Triệu Nhã Nhi	Huyền	10100	99999	1800	2	30	2	3	50	10344	100055
10005602	Kỷ Mân	Huyền	10001	99999	1800	12	4	10	3	150	10348	100056
10005603	Kỷ Mân	Địa	10001	99999	2600	18	6	15	3	300	10347	100056
10005701	Tần Hồng Thương	Hoàng	10007	99999	1000	6	2	0	3	100	10198	100057
10005702	Tần Hồng Thương	Huyền	10007	99999	1200	14	4	2	3	200	10197	100057
10005703	Tần Hồng Thương	Địa	10007	99999	2600	20	6	4	3	260	10196	100057
10005802	Lam Đình	Huyền	10002	99999	1800	4	5	6	3	110	10351	100058
10005803	Lam Đình	Địa	10002	99999	2200	8	12	6	3	220	10351	100058
10005901	Sử Yến	Hoàng	10003	99999	1400	2	25	2	3	40	10357	100059
10005902	Sử Yến	Huyền	10003	99999	2300	2	50	2	4	80	10356	100059
10006001	Tề Lệ	Hoàng	10005	99999	600	12	0	0	2	60	10362	100060
10006002	Tề Lệ	Huyền	10005	99999	1200	12	4	6	2	120	10361	100060
10006003	Tề Lệ	Địa	10005	99999	3000	12	6	8	2	360	10360	100060
10006102	Phong Xuy Tuyết	Huyền	10006	99999	2000	12	12	12	3	180	10367	100061
10006103	Phong Xuy Tuyết	Địa	10006	99999	3400	15	15	15	3	300	10366	100061
10006202	Phong Xuy Tuyết	Huyền	10006	99999	2000	12	12	12	3	180	10368	100062
10006203	Phong Xuy Tuyết	Huyền	10006	99999	3400	15	15	15	3	300	10368	100062
10006302	Thần bí sát thủ	Huyền	10006	99999	2000	12	12	12	3	180	10369	100063
10006303	Hoa	Địa	10006	99999	2000	15	15	15	3	300	10369	100063
10006503	Sử Cương	Huyền	10016	99999	1700	8	0	2	3	390	10371	100065
10006504	Sử Cương	Địa	10016	99999	2400	16	8	18	3	520	10371	100065
10006602	Sử Nghĩa	Huyền	10051	99999	1200	10	4	4	2	260	10376	100066
10006603	Sử Nghĩa	Địa	10051	99999	2500	25	6	6	2	360	10376	100066
10006702	Hoàng Quyên	Huyền	10002	99999	1320	24	10	10	3	100	10381	100067
10006703	Hoàng Quyên	Huyền	10002	99999	1800	24	14	10	3	200	10381	100067
10006802	Độc Long nữ giáo chúng	Hoàng	10002	99999	1200	10	10	0	2	150	10386	100068
10006902	Độc Long nam giáo chúng	Hoàng	10002	99999	1500	0	10	10	2	150	10387	100069
10007001	Phích Lịch bang chúng	Hoàng	0	99999	600	0	0	0	2	50	10392	100070
10007002	Phích Lịch bang chúng	Huyền	0	99999	1500	10	0	10	2	200	10391	100070
10007103	Tây Môn Huyền	Địa	10009	99999	2200	15	10	8	3	280	10161	100071
10007201	Tây Môn Phong	Hoàng	10009	99999	600	4	2	6	3	80	10120	100072
10007202	Tây Môn Phong	Huyền	10009	99999	1000	6	4	8	3	160	10119	100072
10007203	Tây Môn Phong	Địa	10009	99999	1800	15	6	10	3	240	10118	100072
10007301	Thiên Kiếm đệ tử	Hoàng	0	99999	500	0	0	0	2	20	10402	100073
10007302	Thiên Kiếm đệ tử	Huyền	10082	99999	1500	10	10	2	2	60	10401	100073
10007403	Giang Thiên Hùng	Địa	10036	99999	2800	8	4	5	3	360	10406	100074
10007404	Giang Thiên Hùng	Địa	10036	99999	4200	10	6	8	3	480	10406	100074
10007501	Giang Du	Hoàng	10013	99999	900	3	6	3	3	120	10213	100075
10007502	Giang Du	Huyền	10013	99999	1500	4	8	4	3	240	10212	100075
10007503	Giang Du	Địa	10013	99999	2500	5	10	5	3	360	10211	100075
10007703	Quan Trường Hồng	Hoàng	10037	99999	2800	2	2	12	3	400	10411	100077
10007802	Quan Vĩ	Hoàng	10037	99999	1000	6	2	8	2	200	10207	100078
10007803	Quan Vĩ	Huyền	10037	99999	1680	12	8	16	3	300	10206	100078
10007901	Trường Hồng tiêu cục đệ tử	Hoàng	0	99999	400	0	0	0	2	20	10417	100079
10007902	Trường Hồng tiêu cục đệ tử	Huyền	0	99999	600	0	0	0	2	60	10416	100079
10008003	Đường Phi	Địa	10018	99999	1800	12	25	0	4	210	10421	100080
10008101	Đường Quan Nam	Hoàng	10018	99999	600	6	15	0	3	70	10427	100081
10008102	Đường Quan Nam	Huyền	10018	99999	900	8	15	1	3	140	10426	100081
10008103	Đường Quan Nam	Địa	10018	99999	2300	10	20	2	4	210	10426	100081
10008202	Đường Trung Tuệ	Địa	10018	99999	1800	12	10	6	4	120	10431	100082
10008301	Đường Môn môn nhân	Hoàng	0	99999	300	4	10	0	3	0	10429	100083
10008302	Đường Môn môn nhân	Huyền	10085	99999	1000	4	20	0	3	50	10428	100083
10008403	Hạ Hầu Thành	Huyền	10010	99999	3400	10	5	25	2	270	10171	100084
10008501	Hạ Hầu Phi	Hoàng	10010	99999	600	6	2	12	2	90	10178	100085
10008502	Hạ Hầu Phi	Huyền	10010	99999	1800	8	3	16	2	180	10177	100085
10008503	Hạ Hầu Phi	Địa	10010	99999	2200	10	4	20	3	270	10176	100085
10008601	Tuyệt đao đệ tử	Hoàng	0	99999	800	10	0	10	2	40	10437	100086
10008602	Tuyệt đao đệ tử	Huyền	10083	99999	1500	10	0	10	2	80	10436	100086
10008803	Thương Hạc Minh	Địa	10014	99999	3400	6	3	30	2	420	10256	100088
10008902	Thương Trọng Nhân	Huyền	10014	99999	900	3	2	15	3	220	10252	100089
10008903	Thương Trọng Nhân	Địa	10014	99999	2600	5	3	24	3	330	10251	100089
10009001	Bát quái đệ tử	Hoàng	0	99999	400	0	0	0	2	50	10262	100090
10009002	Bát quái đệ tử	Huyền	10086	99999	1200	0	0	15	2	100	10261	100090
10009102	Dương Vân	Huyền	10012	99999	1200	4	12	6	3	200	10441	100091
10009103	Dương Vân	Huyền	10012	99999	3600	4	16	14	3	450	10441	100091
10009201	Phó Kiếm Hàn	Hoàng	10011	99999	1200	10	10	10	3	130	10193	100092
10009202	Phó Kiếm Hàn	Huyền	10011	99999	1800	12	12	12	3	260	10192	100092
10009203	Phó Kiếm Hàn	Địa	10011	99999	3200	18	18	18	3	390	10192	100092
10009204	Phó Kiếm Hàn	Địa	10011	99999	3800	24	24	24	3	470	10191	100092
10009205	Phó Kiếm Hàn	Địa	10011	99999	3200	18	18	18	3	390	10194	100092
10009303	Nhậm Hạo Nhiên	Địa	10026	99999	2400	16	4	4	3	260	10446	100093
10009401	Nhậm Kiếm Nam	Hoàng	10026	99999	600	6	4	4	3	70	10168	100094
10009402	Nhậm Kiếm Nam	Huyền	10026	99999	1200	8	8	6	3	140	10167	100094
10009403	Nhậm Kiếm Nam	Địa	10026	99999	2700	10	10	6	3	280	10166	100094
10009502	Chú kiếm đệ tử	Huyền	10087	99999	1400	2	2	2	2	500	10451	100095
10009601	Củng Quang Kiệt	Hoàng	10015	99999	900	4	2	3	3	100	10457	100096
10009602	Củng Quang Kiệt	Huyền	10015	99999	1800	8	4	6	3	250	10456	100096
10009603	Củng Quang Kiệt	Địa	10015	99999	2800	10	6	9	3	450	10456	100096
10009701	Bách Thảo môn nhân	Hoàng	0	99999	500	4	2	6	2	100	10462	100097
10009702	Bách Thảo môn nhân	Hoàng	0	99999	1200	4	2	6	2	250	10461	100097
10009801	Tiêu Dao	Hoàng	10044	99999	900	5	2	2	3	140	10203	100098
10009802	Tiêu Dao	Huyền	10044	99999	2000	7	2	4	3	280	10202	100098
10009803	Tiêu Dao	Địa	10044	99999	3000	9	2	6	3	420	10201	100098
10009903	Kha Hàng Long	Địa	10043	99999	4800	12	5	2	3	500	10466	100099
10009904	Kha Hàng Long	Địa	10043	99999	4800	12	5	2	3	500	10466	100099
10010002	Lý Hạo	Huyền	10044	99999	1400	8	4	16	3	360	10471	100100
10010003	Lý Hạo	Địa	10044	99999	2000	10	4	18	3	450	10471	100100
10010004	Lý Hạo	Địa	10080	99999	2000	10	12	18	3	450	10471	100100
10010103	Cái Bang trưởng lão	Địa	10044	99999	1800	4	2	4	3	300	10476	100101
10010104	Cái Bang trưởng lão	Địa	10080	99999	1800	4	10	4	3	300	10476	100101
36012201	Cái Bang trưởng lão	Địa	10080	99999	1800	4	10	4	3	300	10707	100101
10010201	Cái Bang bang chúng	Hoàng	0	99999	800	0	0	0	2	100	10482	100102
10010202	Cái Bang bang chúng	Huyền	10080	99999	1200	2	2	2	2	200	10481	100102
10010301	Cái Bang bang chúng	Hoàng	0	99999	800	0	0	0	2	100	10486	100103
10010302	Cái Bang bang chúng	Huyền	10080	99999	1200	4	2	4	2	200	10486	100103
10010403	Độc	Huyền	10002	99999	2300	4	6	2	3	200	10491	100104
10010404	Độc	Địa	10002	99999	2700	4	6	2	3	400	10491	100104
10010503	Lãng	Huyền	10004	99999	1900	6	15	4	3	100	10496	100105
10010504	Lãng	Địa	10004	99999	2300	6	15	4	3	300	10496	100105
10010603	Cuồng	Huyền	60007	99999	2600	15	5	8	3	400	10501	100106
10010604	Cuồng	Địa	60007	99999	2100	15	5	8	3	650	10501	100106
10010702	Tiêu Đại	Hoàng	10054	99999	1200	12	12	0	4	50	10142	100107
10010802	Tiêu Tiểu	Hoàng	10051	99999	1800	4	0	2	2	250	10147	100108
10010903	Hắc Vô Thường	Huyền	10049	99999	2000	9	4	4	3	120	10506	100109
10011003	Bạch Vô Thường	Huyền	10049	99999	2000	4	4	9	3	240	10511	100110
10011101	Hắc Phong tiểu tặc	Hoàng	0	99999	500	2	2	2	2	100	10137	100111
10011102	Hắc Phong ác tặc	Hoàng	0	99999	800	2	2	4	2	200	10137	100111
10011103	Hắc Phong đội trưởng	Hoàng	10074	99999	1000	4	4	6	3	350	10137	100111
10011201	Hác Hổ	Hoàng	10071	99999	400	4	2	8	2	50	10112	100112
10011202	Hác Hổ	Huyền	10071	99999	800	4	2	10	2	100	10112	100112
10011203	Hác Hổ	Huyền	10071	99999	1400	10	4	20	3	300	10112	100112
10011301	Ba Long	Hoàng	10071	99999	500	8	2	4	2	100	10117	100113
10011302	Ba Long	Huyền	10071	99999	1000	10	2	4	2	200	10117	100113
10011303	Ba Long	Huyền	10071	99999	1900	20	6	10	3	300	10117	100113
10011401	Thích tướng quân	Địa	10114	99999	4200	6	4	10	3	800	10680	100114
10011504	Trần công công	Thiên	10060	99999	4800	6	24	6	4	360	10516	100115
10011505	Trần công công	Thiên	10060	99999	6300	6	30	6	4	440	10516	100115
10011602	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011603	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011604	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011605	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011606	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011607	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011608	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011609	Đông Xưởng sát thủ	Huyền	10073	99999	1200	16	8	20	3	220	10521	100116
10011701	Quan binh	Hoàng	0	99999	800	0	0	0	2	0	10526	100117
10011803	Hà Vị Phong	Địa	10012	99999	3400	6	6	6	3	380	10531	100118
10011902	Dịch Lan	Huyền	10012	99999	1800	4	10	8	3	120	10536	100119
10011903	Dịch Lan	Huyền	10012	99999	2600	8	10	10	3	260	10536	100119
10012002	Hà Thu Quyên	Hoàng	10012	99999	1200	4	8	2	2	60	10221	100120
10012003	Hà Thu Quyên	Hoàng	10012	99999	1900	6	10	4	2	200	10221	100120
10012101	Thiên Sơn đệ tử	Hoàng	0	99999	350	0	0	0	2	20	10546	100121
10012102	Thiên Sơn đệ tử	Hoàng	10084	99999	1200	2	2	2	2	100	10546	100121
10012103	Thượng Tinh Trung	Địa	10115	99999	7000	50	15	50	4	600	10548	100121
10012203	Tử Dương Tử	Địa	10062	99999	2000	16	4	4	3	240	10551	100122
10012303	Thanh Hà Tử	Địa	10062	99999	2200	8	8	8	3	340	10556	100123
10012401	Thanh Thành đệ tử	Hoàng	0	99999	350	0	0	0	2	20	10561	100124
10012402	Thanh Thành đệ tử	Hoàng	0	99999	1200	4	4	4	2	140	10561	100124
10012403	Đạo truyện đệ tử	Huyền	10075	99999	2000	6	7	5	3	250	10621	100124
10012502	Tào Ngạc Hoa	Huyền	10124	99999	1200	4	4	4	3	100	10562	100125
10012601	Cật	Hoàng	10063	99999	800	6	0	6	1	240	10182	100126
10012602	Cật	Huyền	10063	99999	1800	8	0	8	1	360	10181	100126
10012603	Cật	Huyền	10063	99999	2400	16	0	16	2	480	10180	100126
10012604	Cật	Huyền	10063	99999	2400	16	0	16	2	480	10180	100126
10012701	Hát	Hoàng	10064	99999	700	24	0	24	2	180	10227	100127
10012702	Hát	Huyền	10064	99999	2000	12	12	12	2	260	10226	100127
10012703	Hát	Huyền	10064	99999	3000	16	16	16	3	340	10225	100127
10012704	Hát	Huyền	10064	99999	3000	16	16	16	3	340	10225	100127
10012801	Phiêu	Hoàng	10065	99999	700	9	4	6	3	100	10232	100128
10012802	Phiêu	Huyền	10065	99999	1200	18	4	8	3	150	10231	100128
10012803	Phiêu	Huyền	10065	99999	2200	27	4	10	4	200	10230	100128
10012804	Phiêu	Huyền	10065	99999	2200	27	4	10	4	200	10230	100128
10012901	Đổ	Hoàng	10066	99999	700	4	9	2	3	60	10237	100129
10012902	Đổ	Huyền	10066	99999	900	6	18	2	3	120	10236	100129
10012903	Đổ	Huyền	10066	99999	1900	8	27	2	4	240	10235	100129
10012904	Đổ	Huyền	10066	99999	2000	8	27	2	4	240	10235	100129
10013001	Thiên Long giáo chúng	Hoàng	0	99999	600	0	0	0	2	120	10241	100130
10013002	Thiên Long giáo chúng	Huyền	0	99999	900	2	2	2	3	240	10242	100130
10013003	Thiên Long giáo tinh anh	Huyền	10089	99999	1600	4	4	4	3	360	10243	100130
10013004	Thiên Long giáo tinh anh	Huyền	10089	99999	2200	8	8	8	3	480	10243	100130
10013005	Thiên Long giáo tinh anh	Thiên	0	99999	2200	8	8	8	3	380	10243	100130
10013006	Thiên Long giáo tinh anh	Thiên	0	99999	2200	8	8	8	3	380	10243	100130
10013007	Thiên Long giáo tinh anh	Thiên	0	99999	2200	8	8	8	3	380	10243	100130
10013008	Thiên Long giáo tinh anh	Thiên	0	99999	2200	8	8	8	3	380	10243	100130
10013009	Thiên Long đặc sát: Nghê Bát	Thiên	10089	99999	3000	20	20	20	3	700	10243	100130
10013010	Thiên Long đặc sát: Tiêu Bạch	Thiên	10089	99999	3000	10	30	10	3	400	10243	100130
10013011	Thiên Long đặc sát: Quái Đầu	Thiên	10089	99999	3000	30	5	5	3	1200	10243	100130
10013012	Thiên Long đặc sát: Tiếu Lang	Thiên	10089	99999	3000	10	10	30	3	660	10243	100130
10013013	Thiên Long giáo chúng	Địa	0	99999	1600	4	4	4	3	360	10244	100130
10013014	Thiên Long giáo chúng	Địa	0	99999	1400	4	8	6	3	280	10671	100130
10013301	Tu La môn nhân	Hoàng	0	99999	800	0	0	0	2	40	10576	100133
10013302	Tu La môn nhân	Hoàng	0	99999	1000	0	0	0	2	100	10576	100133
10013303	Tu La môn nhân	Hoàng	10081	99999	1000	0	0	0	2	100	10576	100133
10013304	Tu La môn nhân	Hoàng	10081	99999	1000	0	0	0	2	100	10576	100133
10013305	Tu La môn nhân	Hoàng	10091	99999	1000	0	0	0	0	100	10576	100133
10013306	Tu La môn nhân	Hoàng	10091	99999	1000	0	0	0	0	100	10576	100133
10013307	Tu La môn nhân	Hoàng	10092	99999	1000	0	0	0	0	100	10576	100133
10013308	Tu La môn nhân	Hoàng	10092	99999	1000	0	0	0	0	100	10576	100133
10013404	Từ Tử Dịch	Thiên	10028	99999	4000	8	8	8	3	400	10652	100134
10013504	Từ Tử Kỳ	Thiên	10027	99999	3000	20	10	20	4	300	10653	100135
10013602	Cừu Bá	Huyền	0	99999	600	8	2	2	3	100	10581	100136
10013603	Cừu Bá	Địa	0	99999	1600	8	4	6	3	100	10582	100136
10013903	Lợi Không Pháp Vương	Địa	10067	99999	4400	12	4	2	2	500	10586	100139
10013904	Lợi Không Pháp Vương	Địa	10067	99999	5000	12	4	6	2	500	10586	100139
10014001	Tây Vực phiên tăng	Huyền	0	99999	1000	2	2	2	3	100	10152	100140
10014103	Hùng Thiên Bá	Địa	10053	99999	2300	10	5	5	3	300	10591	100141
10014104	Hùng Thiên Bá	Địa	10053	99999	3000	20	5	5	3	300	10591	100141
10014201	Hải Sa bang chúng	Hoàng	0	99999	600	2	2	2	2	100	10601	100142
10014202	Hải Sa bang chúng	Hoàng	10088	99999	1000	4	4	4	2	100	10601	100142
10014203	Hoàng Mân	Hoàng	10088	99999	3000	40	8	25	2	400	10601	100142
10014304	Kim Sí Điểu	Thiên	10101	99999	4000	12	60	12	4	500	10606	100143
10014401	Đông Doanh Uy Khấu	Hoàng	0	99999	1300	10	6	8	3	30	10611	100144
10014503	Đông Doanh Lãng Nhân	Địa	10006	99999	2000	26	14	14	4	120	10616	100145
10014504	Bạt đao thiên nhân trảm	Địa	10006	99999	4000	26	14	14	4	220	10616	100145
10022401	Thiểm Bắc thập tam nhạn	Hoàng	0	99999	200	2	2	2	2	0	10132	100224
10022402	Đạo tặc	Hoàng	0	99999	400	4	4	4	2	0	10132	100224
10022403	Sa mạc hắc trộm	Hoàng	0	99999	1200	6	4	2	2	0	10132	100224
10022404	Thiểm Bắc thập tam nhạn	Hoàng	0	99999	1000	2	2	2	2	0	10137	100224
10024503	Tào Đại	Địa	10123	99999	3000	10	8	12	3	420	10563	100245
10024504	Tào Đại	Địa	10123	99999	3000	10	8	12	3	420	10563	100245
10024602	Hoa Sơn đệ tử	Địa	10076	99999	1800	4	2	4	2	400	10564	100246
10024603	Hoa Sơn đệ tử	Địa	0	99999	1800	4	2	4	2	400	10564	100246
