#ID	Name	Desc	iExp	iNeigongType	sIcon1	sCIcon1	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit
10013	Thiên Cương Công	[00FF00]Khí Liệu[-] : Hồi phục 5% Sinh lực. <br>[FF8C00]Thiên Cương[-] : Liên tục tăng Sát thương, tối đa 300. <br>[FFA500]Sao Bắc Đẩu[-] : Sinh lực thấp hơn 50% phát động Tụ khí.	0	0	0	0	3	1	0	15	30	300	0	0	1	5	5	5	0	10	1	0	700009	80	0	10	1	500037	0	50																																				
10014	Bát Quái Tâm Pháp	[FFA500]Lưỡng Nghi[-] : Phản kích phát động Bá Thể <br>[DDA0DD]Tứ Tượng[-] : Liên tục tăng Phản kích, tối đa 20%, vô hạn Phản kích.	0	0	0	0	5	1	1	1	3	20	29	4	0	0	0	0	5	7	0	500012	0	0	0	10	1	0	700009	80	0	0	0	0	0	0																														
10015	Thần Nông Lưu Ly Công	[40E0D0]Bách thảo[-] : Có tỉ lệ hóa giải các trạng thái bất lợi. <br>[00FFFF]Thần Nông[-] : Đồng đội trong 2 hồi phục 8% Sinh lực và Nội lực.	0	0	0	0	20	0	0	2	4	0	0	5	1	8	8	2	1	5	1	8	8	2	0	10	1	0	700009	80	0	0	0	0	0	0																														
10016	Lục Phiến Tâm Pháp	[F0E68C]Chính Khí[-] : Chiêu thức tuyệt đối chính xác, Miễn dịch Phản kích. <br>[FF8C00]Tức Giận[-] : Tăng Sát thương 30%.	0	0	0	0	8	4	0	0	0	0	25	4	0	0	0	0	3	0	1	30	30	30	0	10	1	0	700009	80	0	0	0	0	0	0																														
10017	Phi Hồ Công	[FFA500]Ngân Hồ[-] : Né tránh phát động Tịnh hóa. <br>[AFEEEE]Mê Tung[-] : Liên tục tăng Né tránh, tối đa 20%.	0	0	0	0	6	7	0	500042	0	0	6	1	1	2	4	20	0	10	1	0	700009	80							0	0	0	0	0	0																														
10018	Tam Khổ Thần Công	[DC143C]Hư Phát[-] : Liên tục tăng Bạo kích, tối đa 33%.<br>[FFA500]Độc Phách[-] : Bạo kích khiến Kẻ địch Trúng Độc.<br>[F0E68C]Thần Công[-] : Chiêu thức tuyệt đối chính xác.	0	0	0	0	8	4	0	0	0	0	7	7	0	0	500006	0	7	1	1	3	4	33	0	10	1	0	700009	80	0	0	0	0	0	0																														
10019	Đao Kiếm Quy Chân Quyết	Long hành: Bị công kích sát thương thì tăng cự ly di chuyển 2 điểm, duy trì 2 lượt <br>Hổ gầm: Bị phản kích thì không bị thương tổn <br>đồng thời thì Phản Kích lại 50% Sát Thương	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
10020	Thượng Thánh Vô Tuyệt Công	[00FF00]Khí Hợp[-] : Hồi phục 6% Sinh lực.	0	0	0	0	0	0	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
10021	Thiểu Lâm Cửu Dương Công	[6495ED]Hộ Thể[-] : Giảm 5% Sát thương phải nhận.<br>[7FFFD4]Độ Hóa[-] : Phản 25% Sát thương phải nhận. <br>[00FF00]Thuần Dương[-] : Hồi phục 5% Sinh lực.	0	0	0	0	32	0	1	5	5	0	15	0	1	25	25	0	0	0	1	5	5	5	0	10	1	0	700009	80																																				
10022	Kim Phong Tâm Pháp	[00FF00]Phong Dũ[-] : Hồi phục 10% đến 20% Sinh lực.<br>[00FFFF]Cương Quyết[-] : Đồng đội trong 2 ô Né tránh tăng 10% đến 20%.	0	0	0	0	0	0	1	10	20	20	6	5	1	20	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
10023	Hồn Nguyên Công	[FF8C00]Hồn Nguyên[-] : Liên tục tăng Sát thương, tối đa 30%, <br>[6495ED]Vô Cực[-] : Nội lực đỡ 30% Sát thương phải nhận.	0	0	0	0	3	1	1	2	2	30	16	0	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
10024	Vũ Đương Kiền Khôn Công ‧ Thiên	[00FF00]Khí Hợp[-] : Hồi phục 5% Sinh lực và Nội lực. <br>[DDA0DD]Càn Khôn[-] : Liên tục tăng Phản kích, tối đa 40%	0	0	0	0	0	0	1	5	5	0	5	1	1	4	5	40	0	10	1	0	700009	80	1	0	1	5	5	0																																				
10025	Vũ Đương Kiền Khôn Công ‧ Địa	[00FF00]Khí Hợp[-] : Hồi phục 7% Sinh lực và Nội lực.<br>[6495ED]Địa Ngự[-] : Nội lực đỡ 30% Sát thương phải nhận.	0	0	0	0	0	0	1	7	7	0	16	0	1	30	30	30	0	10	1	0	700009	80	1	0	1	7	7	0																																				
10026	Thần Kiếm Quyết	[00FFFF]Thiện Giáp[-] : Đồng đội trong 2 ô tăng 300 Sát thương và Phòng ngự.<br>[F0E68C]Thần Kiếm[-] : Miễn dịch Nội Thương và Choáng Váng. <br>[FF00FF]Liên Trảm[-] : Giết địch được hành động thêm nhưng Nội lực tiêu hao gấp đôi	0	0	0	0	23	4	0	0	0	0	3	5	0	300	300	2	0	10	1	0	700009	80	4	5	0	300	300	2	10	4	0	0	0	0	33	4	0	0	0	0																								
10027	Phách Tần Thần Công	[00FF00]Long Nguyên[-] : Hồi phục 5% Sinh lực. <br>[DC143C]Long Nộ[-] : Liên tục tăng Bạo kích, tối đa 50%.<br>[32CD32]Long Uy[-] : Kẻ địch trong 2 ô giảm Sát thương và Phòng ngự. <br>[F0E68C]Thần Công[-] : Hóa giải một trạng thái bất lợi. Chiêu thức tuyệt đối chính xác.	0	0	0	0	0	0	1	5	5	0	7	1	1	5	6	50	8	4	0	0	0	0	3	9	1	30	15	2	4	9	1	50	25	2	0	10	1	0	700009	60	20	0	0	1	1	0																		
10028	Duy Ngã Độc Tôn Công	[00FF00]Thiên Nguyên[-] : Hồi phục 7% Sinh lực và Nội lực.<br>[F0E68C]Thiên Uy[-] : Chiêu thức tuyệt đối chính xác, Miễn dịch Phản kích. <br>[40E0D0]Độc Tôn[-] : Hóa giải các trạng thái bất lợi.	0	0	0	0	0	0	1	7	7	0	8	4	0	0	0	0	25	4	0	0	0	0	1	0	1	7	7	7	20	4	0	0	0	0																														
10029	Tu La Phách Phượng Công	[DDA0DD]Thô Bạo[-] : Liên tục tăng Phản kích, tối đa 30%, vô hạn Phản kích.<br>[FF8C00]Máu Chém[-] : Liên tục tăng Sát thương, tối đa 600 <br>[FFA500]Phượng Công[-] : Sinh lực thấp hơn 30% phát động Tịnh hóa.	0	0	0	0	3	1	0	40	50	600	29	4	0	0	0	0	5	1	1	4	5	30	0	10	1	500042	0	30																																				
10030	Băng Hỏa Huyền Công	[DC143C]Ly Hỏa[-] : Liên tục tăng Bạo kích, tối đa 60%<br>[AFEEEE]Khảm Thủy[-] : Liên tục tăng Né tránh, tối đa 50%.<br>[FFA500]Cuồng Bạo[-] : Sinh lực thấp hơn 30% phát động Cuồng Bạo.	0	0	0	0	6	1	1	3	4	50	7	1	1	4	5	60	0	10	1	600021	0	30	0	10	1	0	700009	60	0	0	0	0	0	0																														
10031	Kim Dực Thần Công	[FFFF00]Ưng Trận[-] : Di chuyển +1, Hành động +4<br>[FF00FF]Liên Trảm[-] : Giết địch được hành động thêm nhưng Nội lực tiêu hao gấp đôi. <br>[FFA500]Móng Vuốt[-] : Bạo kích phát động Tịnh hóa và Hấp thu 100% Sinh lực và Nội lực từ Sát thương gây ra.	0	0	0	0	9	0	0	1	1	1	22	0	0	4	4	4	23	4	0	0	0	0	0	10	1	0	700009	80	7	7	0	500212	0	0	7	7	0	500042	0	0																								
10032	Vạn Xà Đại Pháp	[7FFFD4]Độc Phản[-] : Phản Sát 30% thương phải nhận<br>[F0E68C]Độc Ngự[-] : Miễn dịch Phản kích, Bạo Kích, Trúng Độc.  <br>[32CD32]Độc Phệ[-] : Kẻ địch trong 1 ô bị Trúng Độc.	0	0	0	0	15	0	1	30	30	30	24	4	0	0	0	0	25	4	0	0	0	0	0	9	1	4	2	2	0	10	1	0	700009	60	31	4	0	0	0	0																								
10033	Thanh Tâm Phổ Tán Chú	[40E0D0]Thanh Tâm[-] : Hóa giải các trạng thái bất lợi. <br>[32CD32]Thanh Phổ[-] : Kẻ địch trong 2 ô giảm 10% đến 20% Sát thương và Phòng ngự. <br>[00FF00]Phổ Tán[-] : Liên tục tăng hồi phục Sinh lực và Nội lực, tối đa 20%.	0	0	0	0	20	4	0	0	0	0	0	1	1	2	3	20	1	1	1	2	3	20	0	10	1	0	700009	80	3	9	1	20	10	2																														
10034	Tiếu Ngạo Hồng Trần Quyết	[00FFFF]Tiếu Ngạo[-] : Đồng đội trong 2 ô Di chuyển +1<br>[00FFFF]Hồng Trần[-] : Đồng đội trong 2 ô tăng 15% đến 30% Né tránh <br>[40E0D0]Bà Âm[-] : Hóa giải một trạng thái bất lợi.	0	0	0	0	9	5	0	1	1	2	6	5	1	30	15	2	0	10	1	0	700009	80	20	4	0	0	0	0																																				
10035	Vô Danh Tâm Pháp	[00FF00]Độc Cô[-] : Hồi phục Sinh lực 9%<br>[DC143C]Cầu Bại[-] : Liên tục tăng Phản kích, Né tránh, Bạo kích, tối đa 19%.	0	0	0	0	0	0	1	9	9	9	7	1	1	3	4	19	5	1	1	3	4	19	6	1	1	3	4	19	0	0	0	0	0	0																														
10036	Thiên Cương Vô Cực Công	[00FF00]Khí Liệu[-] : Liên tục tăng hồi phục Sinh lực, tối đa 15%<br>[FF8C00]Trường Tồn[-] : Liên tục tăng Sát thương, tối đa 500.<br>[FFA500]Sao Bắc Đẩu[-] : Sinh lực thấp hơn 50% phát động Khổ Luyện.	0	0	0	0	0	1	1	2	3	15	3	1	0	30	40	500	0	10	1	0	700009	60	0	10	1	500022	0	50																																				
10037	Hành Thiên Công	[00FFFF]Khí Hợp[-] : Đồng đội trong 2 ô hồi 10% đến 15% Sinh lực.<br>[00FFFF]Đao Ngự[-] : Đồng đội trong 2 ô Miễn dịch Bạo kích. <br>[00FFFF]Đao Phản[-] : Đồng đội trong 1 ô tăng 10% Phản kích.	0	0	0	0	0	5	1	10	15	2	24	5	1	100	100	2	5	5	1	10	10	1	0	10	1	0	700009	80	0	0	0	0	0	0																														
10038	Thiên Kiếm Quyết	[00FF00]Kiếm Khí[-] : Hồi phục 5% Sinh lực.<br>[FF8C00]Kiếm Thuấn[-] : Liên tục tăng Sát thương, tối đa 30%	0	0	0	0	0	0	1	5	5	5	3	1	1	5	6	30	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
10039	Tuyệt Đao Thế	[00FF00]Đao Khí[-] : Hồi phục 6% Sinh lực<br>[00FFFF]Đao Bích[-] : Đồng đội trong 1 ô tăng 200 Phòng ngự. 	0	0	0	0	0	0	1	6	6	6	4	5	0	200	200	1	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
10040	Bát Quái Tâm Pháp	[DDA0DD]Lưỡng Nghi[-] : Vô hạn Phản kích. <br>[DDA0DD]Tứ Tượng[-] : Liên tục tăng Phản kích, tối đa 40%.	0	0	0	0	5	1	1	4	4	40	29	4	0	0	0	0	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
10041	Tam Khổ Thần Công	[DC143C]Hư Phát[-] : Liên tục tăng Bạo kích, tối đa 33%<br>[FFA500]Độc Phách[-] : Bạo kích khiến Kẻ địch bị Trúng Độc. <br>[F0E68C]Thần Công[-] : Chiêu thức tuyệt đối chính xác.	0	0	0	0	8	4	0	0	0	0	7	7	0	0	500006	0	7	1	1	3	4	33	0	10	1	0	700009	80	0	0	0	0	0	0																														
10042	Thái Cực Thần Công	[00FF00]Vô Ngã[-] : Liên tục tăng hồi phục Sinh lực và Nội lực, tối đa 15%<br>[DDA0DD]Càn Khôn[-] : Liên tục tăng Phản kích, tối đa 50%, vô hạn Phản kích.	0	0	0	0	0	1	1	2	3	15	5	1	1	2	3	50	0	10	1	0	700009	60	29	4	0	0	0	0	1	1	1	2	3	15																														
10043	Hàng Long Thần Công	[00FF00]Đại Xuyên[-] : Hồi phục Sinh lực 10%<br>[FF8C00]Hàng Long[-] : Liên tục tăng Sát thương, tối đa 950<br>[DC143C]Thần Công[-] : Liên tục tăng Bạo kích, tối đa 60%	0	0	0	0	0	0	1	10	10	10	3	1	0	50	100	950	7	1	1	6	10	60	0	10	1	0	700009	60	0	0	0	0	0	0																														
10044	Liên Hoa Kinh	[00FF00]Biểu Liên Hoa[-] : Hồi phục Sinh lực 6%<br>[00FFFF]Lý Liên Hoa[-] : Đồng đội trong 2 ô tăng 200 Sát thương và Phòng ngự.	0	0	0	0	0	0	1	6	6	6	3	5	0	200	100	2	4	5	0	200	100	2	0	10	1	0	700009	60	0	0	0	0	0	0																														
10045	Dịch Cân Kinh	[00FF00]Bồ Đề Liên Hoa[-] : Hồi phục 10% Sinh lực. <br>[40E0D0]Dịch Cân Tẩy Tủy[-] : Hóa giải các trạng thái bất lợi.<br>[7FFFD4]Như Lai Thiên Lý[-] : Phản 30% Sát thương phải nhận.<br>[FFA500]Thần Công[-] : Phản kích phát động Liên kích, Bạo kích phát động Tụ khí.  	0	0	0	0	0	0	1	10	10	10	20	4	0	0	0	0	15	0	1	30	30	30	5	7	0	600052	0	0	7	7	0	500025	0	0	0	10	1	0	700009	60																								
10046	Kim Chung Tráo	[6495ED]Thiết Bố Sam[-] : Liên tục tăng Phòng ngự, tối đa 1000<br>[40E0D0]Dịch Cân Tẩy Tủy[-] : Hóa giải các trạng thái bất lợi.	0	0	0	0	4	1	0	100	200	1000	20	4	0	0	0	0	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
10047	Bắc Minh Vô Tương Công	[FF8C00]Bắc Minh[-] : Hấp thu 30% Sinh lực và Nội lực từ Sát thương gây ra.<br>[40E0D0]Vô Tướng[-] : Hóa giải các trạng thái bất lợi. <br>[00FF00]Nhật Nguyệt[-] : Hồi phục 7% Sinh lực.	0	0	0	0	17	0	1	30	30	30	18	0	1	30	30	30	20	4	0	0	0	0	0	0	1	7	7	7	0	10	1	0	700009	80																														
10048	Hóa Công Đại Pháp	[FF8C00]Bắc Minh[-] : Hấp thu 50% Sinh lực và Nội lực từ Sát thương gây ra.<br>[32CD32]Thiên Trì[-] : Kẻ địch trong 2 ô giảm 30% đến 50% Sát thương và Phòng ngự.<br>[32CD32]Hóa Công[-] : Kẻ địch trong 2 ô liên tục hao tổn 6% đến 12% Nội lực. <br>[F0E68C]Đại Pháp[-] : Miễn dịch Trúng Độc.	0	0	0	0	17	0	1	50	50	0	18	0	1	50	50	0	3	9	1	50	30	2	4	9	1	50	30	2	1	9	1	12	6	2	0	10	1	0	700009	80	31	4	0	0	0	0																		
