#SkillNo	SkillName	NeedToSelectTarget	SkillType	TargetType	TargetArea	Range	AOE	MinDamage	MaxDamage	UseAp	CD	UseSkillAfterMove	condition	SkillEffectID	sSkillIcon
100014060	Mộng Trung Vân Lai Cảnh	1	0	2	0	2	1	300	350	300	2	1	500000,500025	100014060	s01014
100014061	Nhất Túy Tiêu Diêu	1	0	2	0	2	0	500	600	300	0	1	900128,500195	100014061	s01012
100014062	Túy Ngọa Kiền Khôn	0	0	2	0	1	1	450	550	550	2	1	500020,500195	100014062	s01024
100014063	Túy Điệp	0	1	1	0	0	0	300	400	450	2	1	500015,500195	100014063	s05004
100014064	Bổng Đả Ác Khuyển	1	0	2	0	2	0	500	600	250	0	1	500008	100014064	s01014
100014065	Hoàng Cẩu Tát Niệu	1	0	2	3	1	0	450	550	600	2	1	500051,500001	100014065	s01013
100014066	Thiên Hạ Vô Cẩu	1	0	2	0	1	1	500	600	900	4	1	500014,600054	100014066	s01012
100014067	Tinh Vũ Mạn Thiên	1	0	2	0	3	1	300	400	150	0	1	900026	100014067	s01042
100014068	Tinh Hỏa Liệu Nguyên	1	0	2	0	3	1	300	400	600	2	1	500007,500017	100014068	s01043
100014069	Phi Tinh Đái Nguyệt	0	0	2	0	0	3	300	400	900	4	1	500004,500051	100014069	s01028
100014070	Lôi Hỏa Hôi Tẫn	1	0	2	0	3	1	300	400	350	0	1	500009,500007	100014070	s01023
100014071	Phích Lịch Cửu Thiên	0	0	2	0	0	2	600	800	900	4	1	500008,500039	100014071	s02009
100014072	Phi Tinh Trịch	1	0	2	0	4	0	400	450	300	0	1	500132	100080001	s01015
100014073	Đoạt Hồn Hãm	1	0	2	0	3	1	350	400	600	2	1	500003,500006	100081002	s03004
100014074	Bạo Vũ Lê Hoa	1	0	2	0	3	1	420	460	900	3	1	500013,900102	100080002	s02004
100014132	Hàn Mai Ánh Tuyết	1	0	2	1	3	0	300	350	300	0	1	900014,500013	100014132	s01044
100014133	Phi Yến Lăng Ba	0	1	1	0	1	1	200	300	450	2	1	900020	100014133	s05006
100014134	Không Sơn Minh Giản	0	1	1	0	1	1	500	600	750	4	1	900021	100014134	s04007
100014138	Chiêu Quân Xuất Tắc	1	0	2	1	3	0	350	400	450	0	1	500000,500013	100014135	s01044
100014139	Tây Thi Phủng Tâm	0	0	2	0	0	2	350	400	600	2	1	900015,500013	100014136	s02009
100014140	Điêu Thiền Bái Nguyệt	0	1	1	0	0	2	800	1000	900	4	1	900017	100014137	s04001
100014135	Vô Ưu Vô Lự	0	0	2	0	0	2	300	350	600	0	1	900016,500013	100014138	s01059
100014136	Bồ Đề Thanh Tâm	0	1	1	0	0	2	400	600	900	2	1	900018	100014139	s04002
100014137	Ngạo Tiếu Hồng Trần	0	0	2	0	0	3	400	500	1500	4	1	900019,500013	100014140	s02009
100014141	Đức Động Thiên Kinh	1	0	2	1	2	0	350	450	300	0	1	500007,500132	100014141	s01059
100014142	Đế Bất Ngôn Chính	1	0	2	1	2	0	200	300	600	3	1	500002,500001	100014142	s01053
100014144	Xuất Kỳ Bất Ý	1	0	2	0	1	0	300	400	150	0	1	500053,900102	100014144	s01010
100014145	Hổ Hạc Song Hình	1	0	2	0	2	0	400	500	300	2	1	500053,500000	100014145	s01036
100014146	Như Ảnh Tùy Hình	1	0	2	0	1	0	600	700	600	4	1	500017,500007	100014146	s01011
100014147	Bộ Phong Tróc Ảnh	1	0	2	0	2	0	300	350	250	0	1	500053,500003	100014147	s01033
100014148	Phong Trung Kính Thảo	1	0	2	0	1	1	400	500	400	2	1	500053,500000	100014148	s01034
100014149	Bạo Vũ Cuồng Phong	1	0	2	0	1	1	500	600	600	3	1	500053,500039	100014149	s01020
100014150	Tấn Đao	1	0	2	0	4	0	200	300	200	0	1	500052,500014	100014151	s01042
100014151	Xuất Đao	1	0	2	0	5	0	600	700	600	2	1	900129	100014151	s01015
100014152	Thiết Quyền Vô Địch	0	0	2	0	0	1	1600	2000	1000	3	1	500027,500047,500013	100999001	s01001
100014153	Thanh Sương Lệ	1	0	2	0	4	0	220	350	250	0	1	500052,500000	100014153	s00090
100014154	Băng Cơ Ngọc Cốt	1	0	2	0	3	0	350	410	300	2	1	500011,500051	100014154	s01040
100014157	Hổ Phệ Sơn Lâm	1	0	2	1	2	0	400	500	300	2	1	500004,500001	100014156	s01010
100014156	Long Đằng Giang Hải	1	0	2	0	2	0	300	350	200	0	1	500053,500017	100014157	s01055
100014159	Nhất Điểm Hồng	1	0	2	0	2	0	280	320	150	0	1	500052,500013	100014159	s01006
100014160	Bát Tiên Chỉ Lộ	1	0	2	0	2	0	420	480	250	2	1	500052,500132	100014160	s01028
100014162	Hấp Phong Ẩm Lộ	1	0	2	0	2	0	270	330	250	0	1	900010	100014162	s00094
100014163	Ngự Phong Nhi Hành	1	0	2	3	1	0	270	330	250	0	1	500007,500014	100014163	s00093
100014165	Đào Chi Yêu Yêu	1	0	2	0	2	0	270	330	150	0	1	500027,500003	100014165	s00089
100014166	Xuân Phong Phất Diện	1	1	1	1	2	0	600	900	600	0	1	500058,900011	100014166	s04008
100014169	Vô Phong Khởi Lãng	1	0	2	1	2	0	350	450	350	0	1	500027	100014169	s00106
100014170	Hồi Mã Thương	1	0	2	0	2	0	600	700	500	2	1	500039,500013	100014170	s00105
100014171	Thương Định Trung Nguyên	1	0	2	0	1	1	450	550	700	4	1	500132,500004,500013	100014171	s00107
100014175	Nhân Quỷ Thù Đồ	1	0	2	0	2	0	300	400	250	0	1	500053,500009	100014175	s00079
100014176	Địa Hồn Vô Hư	1	0	2	0	1	0	450	550	400	2	1	500027,500002	100014176	s00098
100014177	Thiên Hồn Miểu Miểu	1	0	2	0	1	1	550	650	600	3	1	500053,900102	100014177	s00097
100014178	Phong Vân Biến Sắc	1	0	2	0	1	0	350	400	225	0	1	500017,500019	100014178	s00088
100014179	Điện Xế Phong Trì	1	0	2	1	3	0	350	420	525	2	1	500004,500132	100014179	s00086
100014180	Bát Phương Phong Vũ	0	0	2	0	0	2	400	500	750	3	1	500004,500028,500007	100014180	s00087
100014181	Hàn Tùng Sương Trúc Kim Thác Đao	1	0	2	0	1	0	300	350	225	0	1	500052,500132	100014181	s00102
100014182	Mai Hoa Cù Dục Tuyên Hòa Bút	1	0	2	3	1	0	350	450	450	2	1	500007,500025	100014182	s00104
100014183	Ma Cật Thi Họa Kiến Họa Thi	0	0	2	0	0	1	200	350	750	3	1	500012,500042,500002	100014183	s01016
100014184	Bát Phương Tàng Đao Thức	0	0	2	0	0	1	300	400	250	0	1	500011	100014184	s01062
100014185	Triền Thân Trích Tâm Đao	1	0	2	1	2	0	500	600	375	3	1	500001,500051	100014185	s00101
100014186	Bế Môn Thiết Phiến Đao	0	0	2	0	0	1	500	550	500	3	1	500126	100014186	s00100
100014187	Hầu Tam Trảo Đào Thức	1	0	2	3	1	0	300	400	150	0	1	500052,500004	100014187	s00083
100014188	Hầu Tam Xả Đào Thức	1	0	2	1	2	0	350	450	300	2	1	500053,500027	100014188	s00082
100014189	Hầu Tam Phá Đào Thức	1	0	2	0	1	0	700	800	600	3	1	500001,500039,500057	100014189	s00084
100014190	Nhất Đao Khởi Trình	1	0	2	1	2	0	300	350	100	0	1	500014	100014190	s01029
100014191	Tẩu Kiếm Hành Đao	1	0	2	0	2	0	450	550	200	2	1	500004,500003	100014191	s01063
100014192	Đao Kiếm Khiếu	1	0	2	1	2	0	450	500	600	3	1	500039,500035	100014192	s02008
100014193	Truy Hồn Đoạt Phách	1	0	2	1	4	0	350	400	400	0	1	500013,900102	100014195	s01041
100014194	Vô Thường Tác Mệnh	1	0	2	1	3	0	450	550	800	2	1	500028,500009	100014193	s02002
100014195	Diêm Vương Lạc Bút	0	0	2	0	0	2	500	600	1500	4	1	500051,900099	100014194	s01022
100014196	Đao Kiếm Hợp	1	0	2	3	1	0	400	500	350	0	1	500018,500022	100014196	s00112
100014197	Tổng Quyết Đao	0	0	2	0	0	1	500	550	900	2	1	500012,500009	100014197	s00111
100014198	Tổng Quyết Kiếm	0	0	2	0	0	1	500	550	900	2	1	500013,500008	100014198	s01019
100014199	Giang Thượng Lộng Địch	1	0	2	3	1	0	450	550	400	0	1	500052,500024	100014199	s01049
100014200	Phi Yến Xuyên Liễu	1	0	2	0	3	0	450	600	900	1	1	900110,500017	100014200	s00110
100014201	Tảo Đãng Quần Ma	0	0	2	0	0	1	550	600	1500	1	1	900110,500014	100014201	s00113
100014202	Độc Kiềm Ngão Thứ	1	0	2	2	2	0	300	350	200	0	1	500021,500049	100014202	s00109
100014203	Bách Túc Trảo Nạo	1	0	2	2	3	0	400	450	400	3	1	500028,500039	100014203	s00117
100014204	Nhiệt Địa Du Diên	0	0	2	0	0	1	400	450	650	3	1	500051,900101	100014204	s00108
100014205	Kim Xà Thổ Tín	1	0	2	0	2	0	300	500	150	0	1	500132,900127	100014205	s00118
100014206	Bôi Cung Xà Ảnh	1	0	2	3	1	0	400	500	300	2	1	500007,500009	100014206	s00120
100014207	Kim Xà Cuồng Vũ	0	0	2	0	0	1	400	450	450	3	1	500013,500049	100014207	s00119
100014208	Huyết Phi Hoa	1	0	2	0	4	0	250	350	200	0	1	900153,500003	100014208	s00114
100014209	Loạn Hồng Trần	0	0	2	0	0	2	350	400	400	3	1	900153,500007	100014209	s01037
100014210	Mãn Giang Hồng	1	0	2	1	4	0	300	350	550	3	1	900153,500013	100014210	s01031
100014211	Trừu Ti Bác Kiển	1	0	2	0	1	0	350	400	200	0	1	500052,500005	100014211	s00116
100014212	Thiên Ti Vạn Lũ	1	0	2	3	1	0	400	450	400	2	1	900104,500049	100014212	s01017
100014213	Mệnh Nhược Huyền Ti	1	0	2	0	1	0	500	600	550	3	1	500002,500049	100014213	s01009
100014214	Cự Triệt Thức	1	0	2	3	1	0	300	350	150	0	1	900109,500003	100014214	s01008
100014215	Phi Sí Thức	1	0	2	0	1	0	450	500	300	2	1	500014,500132	100014215	s00080
100014216	Bộ Thiền Thức	1	0	2	0	2	0	500	550	400	4	1	900108,500002	100014216	s00096
100014217	Sinh Công Thuyết Pháp	1	0	2	3	1	0	350	400	200	0	1	900105	100014217	s01050
100014218	Khổ Hải Vô Biên	0	0	2	0	0	1	300	350	400	3	1	900106	100014218	s00115
100014219	Phóng Hạ Đồ Đao	0	0	2	0	0	1	300	350	700	3	1	900107	100014219	s01046
100014220	Xú Nê Đạn	1	0	2	0	3	0	200	300	300	0	1	500170,900172	100014153	s00103
100014221	Uế Cấu Bạo Đạn	1	0	2	0	3	1	10	10	1000	4	1	900092,900172	100014153	s00103
100014222	Tam Chiết Quăng	1	1	1	0	4	0	900	1200	250	0	1	900098,500041	100028001	s04004
100014223	Bách Bệnh Thân	1	0	2	2	3	0	50	50	500	2	1	900096	100014025	s01047
100014224	Thiên Kim Phương	1	1	1	2	3	0	1000	2000	1000	4	1	900097,500043	100014025	s04006
100014225	Dương Ý Khứ Âm	1	1	1	0	2	0	1100	1200	1500	0	1	500041	100014024	s04001
100014226	Kiếm Khí Túng Hoành	1	0	2	1	4	0	430	520	500	0	1	500008,500052	100014032	s01042
100014301	Lư Sơn Thăng Kê Phách	0	0	2	0	0	1	250	350	100	0	1	500052,500027,500001	100014001	s02005
100014302	Phượng Trảo Thất Liên Sát	1	0	2	0	1	1	200	400	150	0	1	500052,500004,500028	100108002	s00117
100014303	Thăng Long Quyền	0	0	2	0	0	1	350	500	200	0	1	500052,500001,500201	100014001	s01053
100014304	Toàn Phong Cước	0	0	2	0	0	2	450	600	350	0	1	500053,500000,500028	100422002	s01036
100014305	Khí Công Ba	1	0	2	1	5	0	600	1000	1800	1	1	500202	100134002	s01025
100015001	Vũ Tùng Quyền Đả Hổ	1	0	2	0	1	0	1100	1200	160	0	1	500052	100015001	s01002
100015002	Lâm Trùng Sách Mã Tiên	1	0	2	3	1	0	1200	1300	240	2	1	500001,500000	100015002	s01011
100015003	Tống Giang Nộ Đãng Khấu	1	0	2	0	3	0	1000	1100	320	3	1	500028,500035	100015003	s02010
100015004	Vũ Tùng Quyền Đả Hổ	1	0	2	0	1	0	598	628	64	0	1	500052	100015001	s01002
100015005	Lâm Trùng Sách Mã Tiên	1	0	2	3	1	1	678	778	104	3	1	500001	100015002	s01011
100015006	Vũ Tùng Quyền Đả Hổ	1	0	2	0	1	0	448	488	44	0	1	500052	100015001	s01002
100016001	Nhất Đao Khởi Trình	1	0	2	1	2	0	1000	1300	100	0	1	500014	100016001	s01029
100016002	Tẩu Kiếm Hành Đao	1	0	2	0	2	0	1100	1400	200	2	1	500004,500003	100016002	s01063
100016003	Đao Kiếm Khiếu	1	0	2	1	2	0	1400	1600	300	3	1	500039,500035	100016003	s02008
100016004	Nhất Đao Khởi Trình	1	0	2	1	2	0	700	900	100	0	1	500014	100016001	s01029
100016005	Tẩu Kiếm Hành Đao	1	0	2	0	2	0	800	1100	200	3	1	500004	100016002	s01063
100016006	Nhất Đao Khởi Trình	1	0	2	1	2	0	250	400	100	0	1	500014	100016001	s01029
100017001	Dương Quan Tam Điệt	1	0	2	0	2	0	1200	1400	200	0	1	500000,500005	100017001	s02008
100017002	Dương Xuân Bạch Tuyết	1	0	2	0	2	0	1400	1600	400	2	1	500052,500001	100017002	s02007
100017003	Dương Ca Thiên Quân	0	0	2	0	0	3	1000	1200	800	3	1	500009,500008	100017003	s02003
100018001	Độc Long Tham Hải	1	0	2	0	1	0	600	900	200	0	1	500006	100018001	s03002
100018002	Đoạn Hồn Thực Cốt	1	0	2	0	1	0	800	1100	300	2	1	500049,500008	100018002	s03004
100018003	Hóa Công Độc Chưởng	0	0	2	0	0	2	900	1300	400	4	1	500005,500001	100018003	s03005
100019001	Bát Phương Tàng Đao Thức	0	0	2	0	0	1	500	600	100	0	1	500008	100019001	s01062
100019002	Triền Thân Trích Tâm Đao	1	0	2	1	2	0	700	800	250	2	1	500001,500051	100019002	s01038
100019003	Bế Môn Thiết Phiến Đao	0	0	2	0	0	1	800	900	400	4	1	500126	100019003	s01043
100021001	Tộc Bào Nguyệt Canh Đao	1	0	2	0	1	0	500	600	100	0	1	500052,500003	100021001	s01021
100021002	Lương Bào Tuế Canh Đao	1	0	2	0	1	0	600	800	200	2	1	500052,500132	100021002	s01038
100021003	Du Nhận Tất Hữu Dư	1	0	2	0	1	0	800	1000	300	3	1	500052,500039	100021003	s01054
100022001	Thanh Long Bãi Vĩ	1	0	2	1	2	0	170	210	30	0	1	0	100022001	s01053
100022002	Lưu Tinh Cản Nguyệt	1	0	2	1	2	0	210	240	50	2	1	0	100022002	s01038
100023001	Kinh Thiên Chùy	1	0	2	3	1	0	150	170	30	0	1	0	100023001	s01018
100023002	Động Địa Chùy	0	0	2	0	0	1	170	200	50	2	1	500001	100023002	s02006
100024001	Nhất Chỉ Kinh Phong	1	0	2	0	1	0	130	150	30	0	1	500052	100024001	s01006
100024002	Nhất Chỉ Hãi Lãng	1	0	2	0	1	0	200	220	50	2	1	0	100024002	s01008
100025001	Phật Sơn Thiết Tuyến Quyền	1	0	2	0	1	0	140	160	30	0	1	0	100025001	s01007
100025002	Phật Sơn Vô Ảnh Cước	1	0	2	0	2	0	170	210	50	2	1	500053	100025002	s01055
100025003	Phật Sơn Vô Ảnh Cước	1	0	2	0	1	0	800	900	100	0	1	500001	100025002	s01055
100025004	Phật Sơn Vô Ảnh Cước	1	0	2	0	1	0	900	1000	200	0	1	500001	100025002	s01055
100025005	Phật Sơn Vô Ảnh Cước	1	0	2	0	1	0	1000	1200	300	0	1	500001	100025002	s01055
100026001	Túy Tửu Bát Tí Liên Hoàn Thích	0	0	2	0	0	1	900	1000	150	0	1	500053,500195	100026001	s01011
100026002	Túy Tửu Đề Hồ Lực Thiên Quân	1	0	2	0	1	0	1100	1300	250	2	1	500015,500195	100026002	s01007
100026003	Đạn Yêu Hiến Tửu Túy Đương Bộ	1	0	2	0	1	0	1400	1600	300	3	1	500017,500053,500195	100026003	s01010
100027001	Tinh Vũ Mạn Thiên	1	0	2	0	3	1	400	600	150	0	1	900026	100027001	s01043
100027002	Tinh Hỏa Liệu Nguyên	1	0	2	0	3	1	700	900	200	3	1	500013,500004	100027002	s02004
100027003	Phi Tinh Đái Nguyệt	0	0	2	0	0	2	1000	1200	400	4	1	500007,500051	100027003	s02009
100028001	Điểm Huyết Tiệt Mạch	1	0	2	0	4	0	300	400	100	0	1	500000,500004	100028001	s01047
100028003	Thiên Kim Phương	0	1	1	0	0	2	1000	2000	400	3	1	500043,900097	100028002	s04005
100028002	Tam Chiết Quăng	1	1	1	0	4	0	900	1200	250	1	1	900098,500041	100028001	s04004
100029001	Sưu Hồn	0	0	2	0	0	2	500	800	200	0	1	500013,900029	100029001	s01056
100029002	Tiêu Hồn	0	0	2	0	0	2	600	700	300	2	1	500013,900030	100029002	s01050
100029003	Vong Hồn	1	0	2	1	3	0	800	1000	400	4	1	500002,500013,900031	100029003	s01027
100030001	Đào Chi Yêu Yêu	1	0	2	1	2	0	800	1000	200	0	1	500027,500003	100030001	s00089
